dataset,n_base,dim,metric,family,build_params,query_param,k,is_default,recall,recall_id,recall_std,latency_ms,latency_ms_std,latency_p95_ms,build_seconds,memory_mb
glove-100-angular,200000,100,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",10,10,1,0.515,0.515,0.0,0.0409,0.001734935157289747,0.07556666666666666,95.52,107.2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",16,10,0,0.60833,0.60833,0.0,0.05636666666666667,0.0011547005383792531,0.09699999999999999,95.52,107.2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",32,10,0,0.71233,0.71233,0.0,0.09583333333333333,0.002119748412744617,0.14476666666666668,95.52,107.2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",64,10,0,0.815,0.815,0.0,0.1824,0.003704051835490422,0.282,95.52,107.2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",128,10,0,0.87933,0.87933,0.0,0.32643333333333335,0.017506094176981173,0.44356666666666666,95.52,107.2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",256,10,0,0.923,0.923,0.0,0.6013666666666667,0.011360604444013241,0.8071666666666667,95.52,107.2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",512,10,0,0.9616700000000001,0.9616700000000001,0.0,1.1549,0.010839280418920858,1.4688333333333334,95.52,107.2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",10,10,0,0.607,0.607,0.0,0.07303333333333334,0.0008144527815247107,0.11703333333333332,149.27,132.8
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",16,10,0,0.684,0.684,0.0,0.10049999999999999,0.002137755832643197,0.1593,149.27,132.8
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",32,10,0,0.791,0.791,0.0,0.16116666666666665,0.0017502380790433418,0.2336,149.27,132.8
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",64,10,0,0.867,0.867,0.0,0.29073333333333334,0.0043015501081974305,0.38116666666666665,149.27,132.8
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",128,10,0,0.931,0.931,0.0,0.5287666666666667,0.008962328566468338,0.6597,149.27,132.8
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",256,10,0,0.97067,0.97067,0.0,1.0073666666666667,0.037534295428758746,1.405166666666667,149.27,132.8
glove-100-angular,200000,100,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",512,10,0,0.99133,0.99133,0.0,1.8648666666666667,0.0236038838612067,2.2412666666666667,149.27,132.8
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",10,10,0,0.64033,0.64033,0.0,0.0914,0.0041761226035642186,0.14736666666666667,336.91,158.4
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",16,10,0,0.72167,0.72167,0.0,0.13133333333333333,0.0005859465277082353,0.2093,336.91,158.4
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",32,10,0,0.81967,0.81967,0.0,0.2154,0.0030315012782448306,0.2902,336.91,158.4
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",64,10,0,0.903,0.903,0.0,0.38056666666666666,0.004908496035786645,0.4819,336.91,158.4
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",128,10,0,0.959,0.959,0.0,0.7199,0.006366317616958798,0.882,336.91,158.4
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",256,10,0,0.98433,0.98433,0.0,1.3350666666666668,0.009291573243177607,1.6092666666666666,336.91,158.4
glove-100-angular,200000,100,angular,HNSW,"{""M"": 48, ""efConstruction"": 400}",512,10,0,0.9973300000000002,0.9973300000000002,0.0,2.5835333333333335,0.08181053314416997,3.3663666666666665,336.91,158.4
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",10,10,0,0.33867,0.33867,0.0,0.0242,9.99999999999994e-05,0.0395,35.44,94.40000000000002
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",16,10,0,0.42833000000000004,0.42833000000000004,0.0,0.03333333333333333,0.0009073771725877471,0.06269999999999999,35.44,94.40000000000002
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",32,10,0,0.56533,0.56533,0.0,0.05843333333333334,0.002254624876411448,0.10363333333333334,35.44,94.40000000000002
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",64,10,0,0.66667,0.66667,0.0,0.10716666666666667,0.005205125678918167,0.1711666666666667,35.44,94.40000000000002
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",128,10,0,0.767,0.767,0.0,0.18533333333333335,0.005379900866496819,0.25756666666666667,35.44,94.40000000000002
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",256,10,0,0.83167,0.83167,0.0,0.36003333333333326,0.00878426623761675,0.45766666666666667,35.44,94.40000000000002
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",512,10,0,0.8889999999999999,0.8889999999999999,0.0,0.7000666666666667,0.007793800955460284,0.8401333333333333,35.44,94.40000000000002
glove-100-angular,200000,100,angular,IVF-Flat,"{""nlist"": 100}",1,10,1,0.50067,0.50067,0.0,0.10646666666666667,0.0026501572280401274,0.1866,0.28,81.64
