loaded glove-100-angular: base=(200000, 100) queries=(300, 100) metric=angular
exact ground truth in 1.4s
glove-100-angular IVF-PQ {'nlist': 1024, 'm': 5, 'nbits': 8} qp=1 r0 rec=0.1280 med=0.039ms
glove-100-angular IVF-PQ {'nlist': 1024, 'm': 5, 'nbits': 8} qp=1 r1 rec=0.1280 med=0.039ms
glove-100-angular IVF-PQ {'nlist': 1024, 'm': 5, 'nbits': 8} qp=1 r2 rec=0.1280 med=0.039ms
glove-100-angular IVF-PQ {'nlist': 1024, 'm': 5, 'nbits': 8} qp=2 r0 rec=0.1427 med=0.042ms
glove-100-angular IVF-PQ {'nlist': 1024, 'm': 5, 'nbits': 8} qp=2 r1 rec=0.1427 med=0.041ms
glove-100-angular IVF-PQ {'nlist': 1024, 'm': 5, 'nbits': 8} qp=2 r2 rec=0.1427 med=0.042ms
glove-100-angular IVF-PQ {'nlist': 1024, 'm': 5, 'nbits': 8} qp=4 r0 rec=0.1523 med=0.046ms
glove-100-angular IVF-PQ {'nlist': 1024, 'm': 5, 'nbits': 8} qp=4 r1 rec=0.1523 med=0.046ms
glove-100-angular IVF-PQ {'nlist': 1024, 'm': 5, 'nbits': 8} qp=4 r2 rec=0.1523 med=0.046ms
glove-100-angular IVF-PQ {'nlist': 1024, 'm': 5, 'nbits': 8} qp=8 r0 rec=0.1560 med=0.057ms
glove-100-angular IVF-PQ {'nlist': 1024, 'm': 5, 'nbits': 8} qp=8 r1 rec=0.1560 med=0.056ms
glove-100-angular IVF-PQ {'nlist': 1024, 'm': 5, 'nbits': 8} qp=8 r2 rec=0.1560 med=0.056ms
glove-100-angular IVF-PQ {'nlist': 1024, 'm': 5, 'nbits': 8} qp=16 r0 rec=0.1557 med=0.077ms
glove-100-angular IVF-PQ {'nlist': 1024, 'm': 5, 'nbits': 8} qp=16 r1 rec=0.1557 med=0.076ms
glove-100-angular IVF-PQ {'nlist': 1024, 'm': 5, 'nbits': 8} qp=16 r2 rec=0.1557 med=0.076ms
glove-100-angular IVF-PQ {'nlist': 1024, 'm': 5, 'nbits': 8} qp=64 r0 rec=0.1560 med=0.199ms
glove-100-angular IVF-PQ {'nlist': 1024, 'm': 5, 'nbits': 8} qp=64 r1 rec=0.1560 med=0.201ms
