dataset,n_base,dim,metric,family,build_params,query_param,k,is_default,recall_id,recall_tieaware,latency_median_ms,latency_p95_ms,build_seconds,memory_mb,repeat
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",10,10,0,0.33867,0.33867,0.0242,0.0394,35.44,94.4,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",10,10,0,0.33867,0.33867,0.0243,0.0405,35.44,94.4,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",10,10,0,0.33867,0.33867,0.0241,0.0386,35.44,94.4,2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",16,10,0,0.42833,0.42833,0.0337,0.062,35.44,94.4,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",16,10,0,0.42833,0.42833,0.0323,0.0609,35.44,94.4,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",16,10,0,0.42833,0.42833,0.034,0.0652,35.44,94.4,2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",32,10,0,0.56533,0.56533,0.0586,0.0979,35.44,94.4,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",32,10,0,0.56533,0.56533,0.0606,0.1129,35.44,94.4,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",32,10,0,0.56533,0.56533,0.0561,0.1001,35.44,94.4,2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",64,10,0,0.66667,0.66667,0.1125,0.1859,35.44,94.4,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",64,10,0,0.66667,0.66667,0.1069,0.1687,35.44,94.4,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",64,10,0,0.66667,0.66667,0.1021,0.1589,35.44,94.4,2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",128,10,0,0.767,0.767,0.1829,0.254,35.44,94.4,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",128,10,0,0.767,0.767,0.1816,0.2497,35.44,94.4,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",128,10,0,0.767,0.767,0.1915,0.269,35.44,94.4,2
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",256,10,0,0.83167,0.83167,0.3504,0.4635,35.44,94.4,0
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",256,10,0,0.83167,0.83167,0.3621,0.4484,35.44,94.4,1
glove-100-angular,200000,100,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",256,10,0,0.83167,0.83167,0.3676,0.4611,35.44,94.4,2
