dataset,n_base,dim,metric,family,build_params,query_param,k,is_default,recall_id,recall_tieaware,latency_median_ms,latency_p95_ms,build_seconds,memory_mb,repeat
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",10,10,0,0.34333,0.347,0.0428,0.077,57.13,219.2,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",10,10,0,0.34333,0.347,0.0449,0.0827,57.13,219.2,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",10,10,0,0.34333,0.347,0.0416,0.0763,57.13,219.2,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",16,10,0,0.44633,0.45067,0.061,0.104,57.13,219.2,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",16,10,0,0.44633,0.45067,0.0578,0.1012,57.13,219.2,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",16,10,0,0.44633,0.45067,0.0568,0.0989,57.13,219.2,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",32,10,0,0.566,0.57133,0.1003,0.164,57.13,219.2,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",32,10,0,0.566,0.57133,0.1015,0.1648,57.13,219.2,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",32,10,0,0.566,0.57133,0.1049,0.1629,57.13,219.2,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",64,10,0,0.672,0.679,0.1825,0.2913,57.13,219.2,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",64,10,0,0.672,0.679,0.1919,0.2925,57.13,219.2,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",64,10,0,0.672,0.679,0.1865,0.296,57.13,219.2,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",128,10,0,0.76,0.766,0.3246,0.4733,57.13,219.2,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",128,10,0,0.76,0.766,0.331,0.4802,57.13,219.2,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",128,10,0,0.76,0.766,0.3254,0.4761,57.13,219.2,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",256,10,0,0.82433,0.832,0.5844,0.7742,57.13,219.2,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",256,10,0,0.82433,0.832,0.5929,0.7744,57.13,219.2,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",256,10,0,0.82433,0.832,0.5899,0.7834,57.13,219.2,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",512,10,0,0.86267,0.873,1.1,1.2938,57.13,219.2,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",512,10,0,0.86267,0.873,1.1215,1.31,57.13,219.2,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 8, ""efConstruction"": 100}",512,10,0,0.86267,0.873,1.1096,1.3039,57.13,219.2,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",10,10,1,0.67433,0.67867,0.0772,0.1274,177.79,232.0,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",10,10,1,0.67433,0.67867,0.0775,0.1352,177.79,232.0,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",10,10,1,0.67433,0.67867,0.077,0.1275,177.79,232.0,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",16,10,0,0.739,0.74367,0.1033,0.1601,177.79,232.0,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",16,10,0,0.739,0.74367,0.1051,0.1567,177.79,232.0,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",16,10,0,0.739,0.74367,0.1009,0.1593,177.79,232.0,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",32,10,0,0.81033,0.816,0.1662,0.263,177.79,232.0,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",32,10,0,0.81033,0.816,0.1691,0.2625,177.79,232.0,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",32,10,0,0.81033,0.816,0.1722,0.2611,177.79,232.0,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",64,10,0,0.84767,0.85367,0.2961,0.4235,177.79,232.0,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",64,10,0,0.84767,0.85367,0.2946,0.4192,177.79,232.0,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",64,10,0,0.84767,0.85367,0.2981,0.422,177.79,232.0,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",128,10,0,0.88967,0.896,0.5414,0.7061,177.79,232.0,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",128,10,0,0.88967,0.896,0.542,0.7148,177.79,232.0,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",128,10,0,0.88967,0.896,0.546,0.7013,177.79,232.0,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",256,10,0,0.91633,0.92367,1.0229,1.2341,177.79,232.0,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",256,10,0,0.91633,0.92367,1.0323,1.2542,177.79,232.0,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",256,10,0,0.91633,0.92367,1.0309,1.2459,177.79,232.0,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",512,10,0,0.94467,0.952,2.0334,2.3171,177.79,232.0,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",512,10,0,0.94467,0.952,1.9962,2.2708,177.79,232.0,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 16, ""efConstruction"": 200}",512,10,0,0.94467,0.952,1.9985,2.2658,177.79,232.0,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",10,10,0,0.749,0.756,0.1363,0.2487,331.82,257.6,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",10,10,0,0.749,0.756,0.1341,0.2175,331.82,257.6,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",10,10,0,0.749,0.756,0.1323,0.2247,331.82,257.6,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",16,10,0,0.816,0.823,0.1885,0.3015,331.82,257.6,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",16,10,0,0.816,0.823,0.1855,0.294,331.82,257.6,1
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",16,10,0,0.816,0.823,0.1874,0.3216,331.82,257.6,2
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",32,10,0,0.861,0.86833,0.3023,0.4514,331.82,257.6,0
nytimes-256-angular,200000,256,angular,HNSW,"{""M"": 32, ""efConstruction"": 200}",32,10,0,0.861,0.86833,0.2997,0.4688,331.82,257.6,1
