dataset,n_base,dim,metric,family,build_params,query_param,k,is_default,recall_id,recall_tieaware,latency_median_ms,latency_p95_ms,build_seconds,memory_mb,repeat
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 8, ""efConstruction"": 100}",10,10,0,0.59233,0.59267,0.0334,0.0534,38.67,116.8,0
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 8, ""efConstruction"": 100}",10,10,0,0.59233,0.59267,0.0354,0.0684,38.67,116.8,1
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 8, ""efConstruction"": 100}",10,10,0,0.59233,0.59267,0.0333,0.057,38.67,116.8,2
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 8, ""efConstruction"": 100}",16,10,0,0.68867,0.689,0.0419,0.0794,38.67,116.8,0
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 8, ""efConstruction"": 100}",16,10,0,0.68867,0.689,0.0427,0.083,38.67,116.8,1
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 8, ""efConstruction"": 100}",16,10,0,0.68867,0.689,0.0426,0.0815,38.67,116.8,2
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 8, ""efConstruction"": 100}",32,10,0,0.81933,0.82,0.0692,0.1146,38.67,116.8,0
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 8, ""efConstruction"": 100}",32,10,0,0.81933,0.82,0.0687,0.1119,38.67,116.8,1
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 8, ""efConstruction"": 100}",32,10,0,0.81933,0.82,0.068,0.1111,38.67,116.8,2
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 8, ""efConstruction"": 100}",64,10,0,0.91733,0.918,0.1216,0.1713,38.67,116.8,0
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 8, ""efConstruction"": 100}",64,10,0,0.91733,0.918,0.1224,0.1729,38.67,116.8,1
sift-128-euclidean,200000,128,euclidean,HNSW,"{""M"": 8, ""efConstruction"": 100}",64,10,0,0.91733,0.918,0.1214,0.1745,38.67,116.8,2
